,Date,Open,High,Low,Close,Adj Close,Volume,No. of Shares,No. of Trades,Change(%)
1052,08-04-2019,1343.267212,1344.753052,1311.270508,1316.768311,1296.530884,8806267,713519,12865,-0.0182
1053,09-04-2019,1316.421631,1328.11084,1308.595825,1321.919556,1301.603027,9587648,635792,11749,0.0039
1054,10-04-2019,1325.386719,1335.342285,1314.044189,1318.898193,1298.628174,7684871,616827,8796,-0.0023
1055,11-04-2019,1320.433594,1340.295288,1316.520752,1334.153564,1313.648926,5795755,466058,8026,0.0116
1056,12-04-2019,1337.323486,1344.158691,1324.098877,1330.488281,1310.040161,5975855,816181,8006,-0.0027
1057,15-04-2019,1332.370483,1336.283325,1322.464355,1327.56604,1307.16272,4285366,450636,6444,-0.0022
1058,16-04-2019,1332.370483,1347.229614,1327.417358,1331.132202,1310.674072,8011783,571692,7930,0.0027
1059,18-04-2019,1362.088745,1376.700317,1352.182617,1372.935913,1351.835327,18130729,497617,19038,0.0314
1060,22-04-2019,1347.229614,1354.16394,1328.7052,1332.717163,1312.234741,10895052,434076,13150,-0.0293
1061,23-04-2019,1335.342285,1360.107544,1333.361084,1351.043457,1330.279297,9141135,465453,14106,0.0137
1062,24-04-2019,1357.432861,1381.702881,1353.420898,1376.452637,1355.298096,7430660,923643,12799,0.0188
1063,25-04-2019,1376.056396,1399.137573,1349.805176,1359.513184,1338.619019,14061860,505500,20124,-0.0123
1064,26-04-2019,1362.088745,1382.842041,1357.829102,1379.721558,1358.516846,6954749,494658,12875,0.0149
1065,30-04-2019,1383.287842,1383.287842,1353.965698,1379.721558,1358.516846,10313866,494553,17546,0
1066,02-05-2019,1378.929077,1400.623535,1369.12207,1391.856567,1370.465088,8764806,795686,14843,0.0088
1067,03-05-2019,1394.72937,1404.189697,1389.479126,1395.62085,1374.171631,6571878,494466,18908,0.0027
1068,06-05-2019,1384.872803,1389.627686,1365.159668,1371.895752,1350.811157,7306518,924687,10606,-0.017
1069,07-05-2019,1381.702881,1381.901001,1327.615479,1330.884521,1310.430176,8961240,587675,13586,-0.0299
1070,08-05-2019,1327.417358,1327.417358,1280.066284,1287.248169,1267.464478,14749036,966982,18906,-0.0328
1071,09-05-2019,1276.69812,1276.69812,1239.996094,1244.651978,1225.522827,19692278,741073,27186,-0.0331
1072,10-05-2019,1253.121704,1265.702393,1233.309448,1239.401733,1220.353271,11333250,1036844,22396,-0.0042
1073,13-05-2019,1236.182251,1248.96106,1215.973755,1220.481079,1201.723511,8124086,892233,14097,-0.0153
1074,14-05-2019,1224.889282,1257.430786,1219.936279,1248.61438,1229.424438,13124240,1026247,18386,0.023
1075,15-05-2019,1261.046509,1265.999634,1238.856934,1245.097778,1225.961914,11269622,1927846,16046,-0.0028
1076,16-05-2019,1248.119019,1259.956909,1246.286499,1253.468384,1234.203857,6669276,655195,9679,0.0067
1077,17-05-2019,1255.102905,1264.959473,1240.243774,1255.499146,1236.203369,7973309,860411,17074,0.0016
1078,20-05-2019,1301.265259,1325.139038,1291.260132,1313.449829,1293.26355,12450850,692013,24716,0.0462
1079,21-05-2019,1319.690674,1354.16394,1317.560791,1327.219238,1306.821289,14003548,442115,22787,0.0105
1080,22-05-2019,1333.014404,1346.932373,1322.563477,1327.813599,1307.406494,11394393,538457,14705,0.0004
1081,23-05-2019,1359.116943,1378.929077,1312.558228,1321.374634,1301.066528,17890505,2132599,29532,-0.0049
1082,24-05-2019,1335.342285,1341.087769,1304.138062,1324.296997,1303.94397,10277262,1951774,18012,0.0022
1083,27-05-2019,1324.544678,1324.940918,1294.727295,1298.343018,1278.388794,7419387,636091,14836,-0.0196
1084,28-05-2019,1307.407104,1322.266235,1301.0177,1311.319946,1291.16626,19657240,1231275,12637,0.01
1085,29-05-2019,1308.595825,1320.780273,1291.904053,1300.720459,1280.729614,7180252,877196,11911,-0.0081
1086,30-05-2019,1303.890381,1329.398682,1303.890381,1317.263672,1297.018677,10842653,606138,14544,0.0127
1087,31-05-2019,1325.337158,1329.299561,1307.803345,1317.659912,1297.408813,11871652,563020,11523,0.0003
1088,03-06-2019,1322.464355,1354.411499,1308.793945,1347.427734,1326.719238,8564026,409985,14192,0.0226
1089,04-06-2019,1344.703613,1361.345825,1335.441406,1338.958008,1318.379517,7126831,509268,9633,-0.0063
1090,06-06-2019,1349.111816,1349.111816,1308.694824,1314.88623,1294.677734,7736969,446597,9587,-0.018
1091,07-06-2019,1313.49939,1314.787109,1293.340454,1302.553101,1282.53418,6794394,511401,10916,-0.0094
1092,10-06-2019,1308.496704,1314.539429,1297.798218,1306.763184,1286.679565,5431146,340665,7494,0.0032
1093,11-06-2019,1309.437866,1321.968994,1305.624023,1316.669312,1296.433472,5303590,344675,8142,0.0076
1094,12-06-2019,1322.167236,1325.832397,1312.558228,1319.641113,1299.359497,4752340,441793,6038,0.0023
1095,13-06-2019,1317.511353,1322.167236,1296.361816,1314.787109,1294.5802,7239164,296443,7691,-0.0037
1096,14-06-2019,1309.487427,1312.558228,1297.104736,1305.178223,1285.119019,6896085,297974,9536,-0.0073
1097,17-06-2019,1307.605225,1307.605225,1266.494873,1270.259155,1250.736694,6880158,201151,11892,-0.0268
1098,18-06-2019,1266.891113,1275.856201,1257.183105,1268.971436,1249.468628,7751984,380891,10179,-0.001
1099,19-06-2019,1274.81604,1289.77417,1250.744141,1265.355713,1245.908447,6688408,434045,11403,-0.0028
1100,20-06-2019,1267.980835,1287.792969,1265.999634,1284.573486,1264.830933,4960591,472822,6826,0.0152
1101,21-06-2019,1283.781006,1283.830566,1263.572632,1267.485474,1248.005615,10723794,430918,6930,-0.0133
1102,24-06-2019,1260.204468,1264.464111,1245.295898,1250.546021,1231.326416,5199824,449975,9987,-0.0134
1103,25-06-2019,1247.078979,1285.811768,1242.472656,1283.682007,1263.953125,6907221,302515,11672,0.0265
1104,26-06-2019,1278.877563,1292.349854,1274.27124,1281.997925,1262.294922,5350180,338684,7881,-0.0013
1105,27-06-2019,1281.007324,1284.722168,1259.065308,1262.185791,1242.787354,11493899,346832,8119,-0.0155
1106,28-06-2019,1265.108032,1270.804077,1236.925171,1241.333374,1222.255371,8741806,407274,11722,-0.0165
1107,01-07-2019,1246.236938,1260.699829,1234.74585,1256.935547,1237.617798,6220490,320941,10031,0.0126
1108,02-07-2019,1261.987671,1268.971436,1251.437622,1266.494873,1247.030273,4682721,288623,9211,0.0076
1109,03-07-2019,1270.853638,1274.4198,1263.077271,1270.506836,1250.980347,4064194,440862,7495,0.0032
1110,04-07-2019,1269.367676,1278.877563,1267.980835,1271.943237,1252.394897,4315672,384353,8020,0.0011
1111,05-07-2019,1273.032959,1278.382202,1248.168579,1251.487183,1232.253052,5042694,350865,9337,-0.0161
1112,08-07-2019,1246.187378,1256.192505,1236.47937,1240.293213,1221.231079,6465252,274520,10400,-0.0089
1113,09-07-2019,1237.222412,1271.447998,1233.80481,1268.079834,1248.590698,8092747,319573,12502,0.0224
1114,10-07-2019,1268.030396,1277.243042,1256.786865,1266.841553,1247.371582,5546395,350612,9892,-0.001
1115,11-07-2019,1274.915039,1277.688843,1267.287354,1269.516235,1250.005127,3972764,348852,5750,0.0021
1116,12-07-2019,1270.952637,1287.792969,1266.049072,1268.476074,1248.980957,7242056,528377,9695,-0.0008
1117,15-07-2019,1272.933838,1277.391602,1258.421387,1264.117432,1244.689331,4919356,384665,10382,-0.0034
1118,16-07-2019,1267.931274,1282.740845,1265.058472,1280.858765,1261.17334,4647660,156332,11000,0.0132
1119,17-07-2019,1282.146484,1284.821167,1267.980835,1269.813477,1250.297607,4376049,321654,5587,-0.0086
1120,18-07-2019,1269.962036,1274.320679,1246.187378,1250.001221,1230.790039,5511650,245812,7220,-0.0156
1121,19-07-2019,1256.291626,1260.996948,1231.031006,1237.271851,1218.256348,7539309,583479,14090,-0.0102
1122,22-07-2019,1239.253174,1272.438599,1215.775635,1268.476074,1248.980957,13426225,159911,21941,0.0252
1123,23-07-2019,1272.933838,1281.750244,1248.564819,1261.591431,1242.202026,9375991,181908,15380,-0.0054
1124,24-07-2019,1261.54187,1266.792114,1241.779175,1247.2771,1228.107788,7009804,322482,15224,-0.0113
1125,25-07-2019,1252.131104,1257.133667,1215.478516,1219.936279,1201.187134,10063036,585651,13505,-0.0219
1126,26-07-2019,1219.936279,1230.832886,1198.638062,1202.402466,1183.922852,9408829,425680,16580,-0.0144
1127,29-07-2019,1205.473267,1210.525391,1193.78418,1199.579224,1181.143066,8134417,494832,15942,-0.0023
1128,30-07-2019,1202.551025,1208.544189,1164.907837,1169.811401,1151.832764,9623710,382454,13254,-0.0248
1129,31-07-2019,1164.709717,1173.872803,1151.485107,1155.29895,1137.543213,9797618,552475,12108,-0.0124
1130,01-08-2019,1152.475708,1177.042847,1139.548218,1169.16748,1151.198486,10442920,416379,15545,0.012
1131,02-08-2019,1164.660156,1186.998413,1151.187866,1173.229004,1161.594849,10968377,413976,14362,0.0035
1132,05-08-2019,1156.04187,1156.04187,1117.408081,1132.613892,1121.382568,14029195,363098,18720,-0.0346
1133,06-08-2019,1124.094727,1138.805298,1111.464478,1117.705322,1106.621948,13414874,430950,14572,-0.0132
1134,07-08-2019,1115.922119,1127.859009,1092.741943,1098.982788,1088.084961,11698729,523278,16020,-0.0168
1135,08-08-2019,1097.942627,1147.126343,1085.015137,1141.529419,1130.209717,14398134,607913,22134,0.0387
1136,09-08-2019,1150.940186,1164.462036,1141.479858,1151.187866,1139.772339,10139155,433717,14494,0.0085
1137,13-08-2019,1221.570679,1290.566772,1214.487915,1262.780151,1250.258057,48377710,546804,55153,0.0969
1138,14-08-2019,1291.755493,1292.201172,1268.327515,1276.15332,1263.498657,14624460,861938,24593,0.0106
1139,16-08-2019,1279.075684,1279.670044,1261.046509,1265.999634,1253.445679,10142736,528918,11206,-0.008
1140,19-08-2019,1269.020996,1284.623047,1267.980835,1280.462524,1267.765137,7530571,2092112,15977,0.0114
1141,20-08-2019,1277.688843,1280.462524,1260.650269,1263.968872,1251.434937,6908329,785411,9667,-0.0129
1142,21-08-2019,1263.671631,1266.643433,1254.607544,1259.015747,1246.531006,4927825,339588,7841,-0.0039
